Timestamp,"In the last five years, what's the highest hourly rate (in USD) you've charged a client?","In the last five years, what's the lowest hourly rate (in USD) you've charged a client?","What would you say is your current average hourly rate (again, in USD)?",Do you feel that you are generally paid fairly for your time?,"Do you usually prefer to charge by the hour, or a flat rate for each project?",Do you generally sign a contract before beginning a project?,Please feel free to add additional notes/comments here about your freelance charges.,May we share your comments when publishing the results of this survey?,"How many years have you been earning money from mapmaking, either as a freelancer or otherwise?",What gender do you identify as?,In what year were you born?,In what country do you reside?,Do you consider your cartographic freelance work to be a full-time or part-time profession?,List any map-related degrees or certifications you hold
3/8/2018 4:28:14,62,0,60,1,Flat rate,Yes,I'm in the progress of finding the right fee. So not really a good source.,Yes,1,Male,1979,The Netherlands,Full time,Self taught but I have a degree in Graphic Design.
3/2/2018 15:14:27,150,50,75,4,A fairly even mix of both,Sometimes,,,1,Male,1981,United States,Full time,Ph.D. cartography/GIS/geography
3/3/2018 18:01:40,20,6,15,3,A fairly even mix of both,Sometimes,"I think I try to determine the rate based on both the type/quality of project, as well as the depth of the client’s pockets.",Yes,2,Male,1993,United States,Part time,"Bachelor's degree in cartography/GIS/geography, Other professional certification in cartography/GIS"
3/3/2018 5:28:53,30,25,25,3,A fairly even mix of both,Yes,,Yes,2,Male,1989,Germany,Full time,"Bachelor's degree in cartography/GIS/geography, Master's degree in cartography/GIS/geography"
3/5/2018 14:23:58,62,15,40,3,A fairly even mix of both,Yes,For a long-term projects (over 40 hrs) I tend to lower my rate,Yes,3,Female,,United States,Part time,
3/9/2018 15:58:05,60,20,50,3,A fairly even mix of both,Yes,"It's always hard to properly value my rate, especially for new clients who I might want to offer a cheaper introductory price. I'm never sure if it's too much, especially when someone in India will build a wordpress site for $20.",Yes,3,Female,1984,United States,Part time,"Master's degree in cartography/GIS/geography, GISP certification"
3/6/2018 15:44:12,28,12,23,3,A fairly even mix of both,Sometimes,One big issue is how long it takes clients to pay you for your work. Sometimes I have to wait a long time after sending an invoice.,Yes,4,Female,1984,United States,Part time,"Bachelor's degree in cartography/GIS/geography, Graduate certificate in GIS (grad student, no thesis)"
3/5/2018 10:57:59,55,45,50,5,Hourly,Yes,I do front-end GIS-related web development for nonprofits,Yes,4,Female,1992,United States,Full time,Bachelor's degree in cartography/GIS/geography
3/2/2018 11:19:22,125,25,65,3,A fairly even mix of both,Yes,"In my contracts I've used hourly rates as justification & reference for flat rates. If I think a project might take 20 hours, I'll put $1200 down as the total. Of course, I don't think I've ever actually finished a project in that time (client needs edits, data takes longer than expected to process...) so if it were truly ""hourly"" I'd definitely be charging more. Try to account for that in the contract via solid scoping.

That said, it really depends on the client! For friends or passion projects, $15/hr is fine by me. Larger organizations with actual budgets are gonna see a higher rate than small non-profits.",Yes,4,Male,1990,United States,Part time,GISP certification
3/3/2018 14:42:40,110,30,70,2,Flat rate,Sometimes,,,4,Male,1970,France,Part time,
3/7/2018 21:23:48,500,54,100,5,Flat rate,Yes,"Gouge, gouge, gouge! Good-looking cartography is still a pain in the ass and relatively few people do it, so you can and should charge a shitload for your time. Hourly has perverse incentives, get a flat rate contract with a specific number of revisions.",Yes,4,Male,1988,United States,Full time,Master's degree in cartography/GIS/geography
3/4/2018 16:00:30,55,25,40,3,A fairly even mix of both,No,"I change my rate based on my client. If it's a nonprofit or NGO, I typically work for less",Yes,5,Female,1990,United States,Part time,Master's degree in cartography/GIS/geography
3/2/2018 18:51:05,120,50,100,4,Hourly,Yes,"I also require a time and materials addendum, in case i need a particular software. I also require a 100/hour minimum because i have a full time job and I don't want or need to add extra stress unless the client is serious and the project is worthwhile. ",Yes,5,Female,1994,United States,Part time,Bachelor's degree in cartography/GIS/geography
3/2/2018 14:15:58,50,,50,3,A fairly even mix of both,No,,Yes,5,Female,1976,United States,Part time,
3/5/2018 11:59:18,10,5,8,3,Flat rate,Sometimes,I usually work on a project basis. I get paid a fixed amount per project depending on the project. Usually clients from my country do not think maps require a lot of work to be made and they are not expecting high prices. ,Yes,5,Male,1990,Albania ,Part time,Master's degree in cartography/GIS/geography
3/2/2018 11:47:31,65,25,60,2,Hourly,Yes,,Yes,5,Male,1986,United States ,Part time,Bachelor's degree in cartography/GIS/geography
3/2/2018 22:43:23,100,25,40,3,Flat rate,No,,Yes,5,Male,1978,United States,Part time,
3/6/2018 17:33:02,250,70,87,4,Hourly,Sometimes,"Almost all of my mapping work consists of maps integrated in other products (data visualisations, dashboards, journalistic pieces, ...).",Yes,5,Male,1980,Belgium,Part time,"Got a GIS course at the university, later taught myself web mapping"
3/7/2018 15:13:45,100,96,95,5,Hourly,Yes,,Yes,5,Male,90,United States,Part time,Bachelor's degree in cartography/GIS/geography
3/5/2018 10:57:27,,,,2,A fairly even mix of both,Yes,,,5,Male,1983,United States,,Master's degree in cartography/GIS/geography
3/5/2018 12:10:09,23,15,19,3,A fairly even mix of both,No,,Yes,6,Female,1989,United States,Part time,GIS certificate (from a university)
3/2/2018 12:18:38,150,17,35,2,Hourly,Yes,"$17 was for a fixed price contract for a non profit that went way over the estimated hours. $150 was work for a major media company (accepted it without blinking). I charged them by the 15 minute increment. ""Average Hourly"" is for my day job. ",Yes,6,Male,1985,United States,Part time,Bachelor's degree in cartography/GIS/geography
