Timestamp,"In 2019, how much money did you typically receive per hour of time spent on freelance mapmaking work?","In 2019, what was the *highest* amount a client paid per hour of your time for a freelance mapping project?","In 2019, what was the *lowest* amount a client paid per hour of your time for a freelance mapping project?",Do you feel that you are generally paid fairly for your time when doing freelance mapping?,"In 2019, what percentage of your personal income came from freelance mapping work?","Do you charge by the hour, or a flat rate for each project?",Do you sign a written contract before beginning a project?,Static Maps: Hand-Drawn,Static Maps: Digital,Interactive or Dynamic Maps: Off-the-shelf,Interactive or Dynamic Maps: Custom Coded,Have you given yourself a raise in the last two years?,"If so, how much more *per hour* do you typically earn for mapping work when compared to two years ago?","Do you have a scheme, plan or interval that determines when you give yourself a raise?",How do you determine when to raise your rate?,What gender do you identify as?,What city and country do you live in?,List any map-related degrees or certifications you hold (select all that apply),What's your experience level? ,Did the results from the 2018 version of this survey influence your business practices or rates?,Please feel free to add additional notes/comments about your freelance rates and business practices.
2/17/2020 12:13:50,85,250,85,4,1,1,3,,85,100,125,No,0,No,,Male,Burlington VT,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,A rising tide lifts all ships! Everyone charge more!
2/17/2020 12:15:31,75,75,75,5,3,1,1,0,75,75,75,Yes,5,Yes,"Annually, based approximately on inflation",Male,"BC, Canada",Other professional certification in cartography/GIS,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,
2/17/2020 12:18:48,500,1000,54,5,80,5,1,,500,,,Yes,150,No,"""let's see if the client can tolerate paying me more""",Male,"California, U.S.",Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,"• When one can do step-zero data cleaning without arcane CLI software or ESRI garbage, all graphic designers will be cartographers. But for now we have a lock: please squeeze big clients for all they have.
• I don't charge by the hour because it doesn't reward being good at my job (static-only cartographer). ""You're not paying for the two hours it took me to do the map, you're paying for the years it took me to learn how to do that in two hours.""
• I recommend flat-rate contracts with X free revisions, subject to per-revision fee of Y after the cap's met. Add strict payment dates and a deposit of at least 25%."
2/17/2020 12:23:32,100,150,75,4,50,3,1,0,100,100,100,No,0,No,"Level of effort required to create the map such as details that require intense research before actual creation. Additionally, does the map need to be periodically updated? This is all outlined in contract ahead of time. Scope of work and level of effort.",Male,"Ashburn, Va","Other professional certification in cartography/GIS, Military Related Training and 20 years of on the job industry experience",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,
2/17/2020 12:39:12,90,90,90,4,2,3,4,,,,90,No,,,,Male,"Boston, MA",,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),,
2/17/2020 12:42:26,77,77,25,4,5,4,2,,77,,,No,0,No,"When I feel I deserve a rate (based on the number of projects done, experience, etc.)",Male,"Montréal, Québec, Canada",Undergraduate certificate (but I have a Master degree in another specialty),Very Experienced (equivalent to 10–20 years of full-time mapmaking work),No,
2/17/2020 12:45:52,60,150,25,4,95,4,4,,75,,,No,,No,"Troublesome client or project, rush schedule",Male,Chicago,,Expert (equivalent to 20+ years of full-time mapmaking work),No,"getting enough work the central issue, more than hourly rate"
2/17/2020 13:07:07,75,100,45,4,80,3,4,,75,,,Yes,15,No,,Non-binary,"Madison, Wisconsin, United States",Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,
2/17/2020 13:47:47,70,70,70,5,70,1,5,,70,,,Yes,20,Yes,"My rate is 2x my current hourly wage + a little extra, so whenever my current hourly wage increases (e.g. get promoted).",Female,"Ann Arbor, MI","Bachelor’s degree in cartography/GIS/geography, Other professional certification in cartography/GIS",Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,
2/17/2020 14:06:02,,,,,,,,,,,,,,,,,,,,,
2/17/2020 14:09:18,100,100,50,4,20,4,1,,100,100,,No,,No,,Male,USA,"Master’s degree in cartography/GIS/geography, Ph.D. cartography/GIS/geography, Other professional certification in cartography/GIS",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,"When I started doing consulting work o used to charge quite a bit less than I do now. But as it is not my main source of income at this point I am ok turning down work if it either isn't interesting or does not pay well (this way I use my ""free time"" to do pro Bono work)"
2/17/2020 14:19:57,100,100,100,4,3,1,1,4,4,0,0,No,,No,When I want more money ,Male,Canada,Other professional certification in cartography/GIS,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,
2/17/2020 14:32:21,75,75,50,2,5,2,4,,75,,,No,,No,how difficult is the client,Male,"Oakland, California, USA",,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,"I often have a stated upper budget and hourly rate with a planned number of hours. I'm often not as fast as I'd like to be, I have edits or revisions and my total hourly rate tends to suffer as I eat the difference even while I report the agreed upon hours."
