Timestamp,"In 2021, how much money did you typically receive per hour of time spent on freelance mapmaking work?","In 2021, what was the *highest* amount a client paid per hour of your time for a freelance mapping project?","In 2021, what was the *lowest* amount a client paid per hour of your time for a freelance mapping project?",Do you feel that you are generally paid fairly for your time when doing freelance mapping?,"In 2021, how much did you depend on your freelance cartography income?","In 2021, what percentage of your personal income came from freelance mapping work?","Do you charge by the hour, or a flat rate for each project?",Do you sign a written contract before beginning a project?,How do you typically find clients?,Has the COVID-19 pandemic affected your freelancing? How?,Static Maps: Hand-Drawn,Static Maps: Digital,Interactive or Dynamic Maps: Off-the-shelf,Interactive or Dynamic Maps: Custom Coded,Have you given yourself a raise in the last two years?,"If so, how much more *per hour* do you typically earn for mapping work when compared to two years ago?","Do you have a scheme, plan or interval that determines when you give yourself a raise?",How do you determine when to raise your rate?,What gender do you identify as?,List any map-related degrees or certifications you hold (select all that apply),What's your experience level? ,Did the results from previous versions of this survey influence your business practices or rates?,"If you answered ""Yes"" above, please optionally indicate how previous surveys influenced you.",How often should we do this survey?,Please feel free to add additional notes/comments about your freelance rates and business practices.
2/17/2022 12:25:41,300,1000,50,5,5,100,5,2,"Repeat business from past clients, Social media",Same as it ever was,,300,,,No,0,No,Time.......,Male,Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,"There are like 50 competent cartographers in the anglosphere, if you are any good jack up your rates"
2/17/2022 12:37:41,35,40,25,3,2,30,3,1,"Advertising, Referrals from other mappers, Repeat business from past clients, Social media, Other job boards","Made me more keen to make the jump to full-time freelancing, given the lesser appeal of working for a company now that everyone was working from home",,25,30,,Yes,15,No,"Fairly new to the game, so should do it more often - so far, when someone else tells me I should!",Male,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography",Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,"Gave me encouragement to make the jump into semi- or full-time freelancing, currently semi!",Annually,This survey is the only source of this sort of great information I know of!
2/17/2022 12:40:55,50,50,50,3,1,2,1,5,Referrals from other mappers,,,50,,,,,,,Male,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,Annually,
2/17/2022 12:42:59,150,300,150,5,1,1,1,1,"Referrals from other mappers, Social media","I want to note I have rarely freelanced but wanted to share the hourly rates I charged the times I did, which were accepted. $150/hr for general cartography work, up to $300/hr for interactive/code. I know not everyone can do these rates depending on types of clients but to show people are willing to pay those rates",don't typically make hand-drawn,150,150-300,300,No,,No,"As notes previously, I rarely freelance but I always have convos with fellow mappers to align rates",Female,Master’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,They made me make sure I asked people what appropriate rates are before having mine,Annually,
2/17/2022 12:51:47,60,80,40,3,1,10,3,4,"Referrals from other mappers, Repeat business from past clients",Not really,,40,,80,Yes,25,No,"For each new client, usually just charge a bit more",Male,Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,Glad y'all are doing this survey! Keep up the great work!
2/17/2022 12:55:37,130,150,100,5,1,10,4,1,Repeat business from past clients,"I found that I had more clients, actually, because professors had extra research $$ they could spend on maps since they weren't traveling. ANd I also had more time to do freelance work.",,130,,,Yes,25,No,As I'm getting more efficient at mapping.,Male,Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,Every 2 years,
2/17/2022 12:58:58,35,35,35,3,1,1,1,4,Repeat business from past clients,,,35,35,,No,,No,,Female,Master’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),No,,Annually,
2/17/2022 13:01:04,60,125,22,4,5,100,3,4,"Referrals from other mappers, Repeat business from past clients, NACIS listing of custom cartography companies, referrals from past clients","One major cilent I got less work from was a travel guide company, but the work for hiking and recreational guides picked up so it all balanced out in the end. ",-,60,-,-,Yes,10,Yes,When I get overwhelmed with work or notice that pretty much everyone accepts the estimates I provide. I have a feeling I need to keep raising them but it feels strange.,Female,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography",Expert (equivalent to 20+ years of full-time mapmaking work),Yes,The fact that expertise didn't necessarily mean much higher rates made me want to charge more.,Annually,"I notice that even though my rate that the client sees (say, $200 for a map) doesn't change, the time is takes me to do it is less every year. So I technically do make more per hour. But If I do both - raise my rate AND become more and more efficient, then I can be even more lucrative. All in theory of course!"
2/17/2022 13:17:49,130,185,100,5,3,,1,1,Referrals from other mappers,,,,100-185,,No,,Yes,Compared to full time,Female,Bachelor’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),Yes,Was able to negotiate from $75/hour to $100/hour from a major company,Annually,Thank you for this extremely helpful & amazing work!
2/17/2022 13:19:04,60,100,30,3,5,95,4,5,"Referrals from other mappers, Repeat business from past clients, NACIS listing of custom cartography companies","tourism-related work dropped almost to nothing, but other categories surprisingly unchanged",75,75,75,75,No,,No,If I ever had as much work as I desired,Male,,Expert (equivalent to 20+ years of full-time mapmaking work),No,,Annually,"Though I estimate based on $75/hour/$300/day, most clients are quoted a firm price up front. So a project that turns out to be much more time-consuming than expected may end up only paying me $20/hour.  A few clients have me do updates and similar work where I benefit from having automated a process or invested in certain software, so they may get charged two hours' equivalent even though I did the job in 30 minutes."
