Timestamp,"In 2023, how much money did you typically receive per hour of time spent on freelance mapmaking work?",,Do you feel that you are usually paid fairly for your time when doing freelance mapping?,"In 2023, how much did you depend on your freelance cartography income?","In 2023, what percentage of your personal income came from freelance mapping work?","If you charge clients a different rate for different types of freelance work, could you describe those differences?",List any freelance platforms you've used to get projects within the last year,List any software you've purchased to support your freelance mapmaking business,List any free/open-source software you use to support your freelance mapmaking business,"In the last year, have you ever subcontracted any of your freelance work, or had an employee of yours work on your freelance projects?",What gender do you identify as?,List any map-related degrees or certifications you hold (select all that apply),What's your experience level? ,Did the results from previous versions of this survey influence your business practices or rates?,"If you answered ""Yes"" above, please optionally indicate how previous surveys influenced you.",How often should we do this survey?,"We'd love to hear any additional thoughts you may have about freelance rates, business practices, or anything that you believe would be valuable for this community!"
3/8/2024 10:40:50,,,1,,1,"I usually charge a flat rate based on what they have available, rather than an hourly fee.",,Adobe Creative Cloud,"QGIS, Google Earth",No,Female,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,"A map-specific version of Upwork would be awesome! We could share it widely with potential customers, refer work requests to a trusted network of mapmakers, and even collaborate and provide feedback to each other through the platform. "
3/11/2024 16:18:03,15,,2,1,3,I had one client last year. He was an existing client so I charged him a discountedflat rate for the maps he needed rather than a per-hour fee. ,,Adobe Creative Cloud,QGIS,No,Female,Grad dip geospatial science,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Every 2 years,
3/8/2024 0:34:14,38,,3,1,2,"Depends on the level of difficulty of the work. If it’s a basic project, I charge by the hour. For complex projects I charge a set rate for completion rather than hourly.",,"Adobe Creative Cloud, Microsoft Office","QGIS, Inkscape, Google Earth",No,Female,GIS certificate,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/8/2024 14:34:02,,,3,1,5,"I charge the same rate for all types of work, from compilation to design. My current rate is $45/hr. ",,Adobe Creative Cloud,,No,Female,Master’s degree in cartography/GIS/geography,Expert (equivalent to 20+ years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/28/2024 12:37:57,,,3,1,0,,Behance. This is the only way I get freelance work.,"ArcGIS, Adobe Creative Cloud",Google Earth,No,Female,"Master’s degree in cartography/GIS/geography, GISP certification",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),No,,Annually,
3/14/2024 14:00:27,23,,4,1,8,,,"Adobe Creative Cloud, Microsoft Office","QGIS, Google Earth",No,Female,"Master’s degree in cartography/GIS/geography, GISP certification",Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,Limit amount of feedback and reworking sessions allowed up front in the agreement 
3/11/2024 8:49:09,50,,4,1,3,,,"Adobe Creative Cloud, Eduard","QGIS, Blender",No,Female,"Bachelor’s degree in cartography/GIS/geography, Diploma in Cartography",Expert (equivalent to 20+ years of full-time mapmaking work),Yes,I increased my hourly rate.,Every 2 years,
3/8/2024 8:40:35,75,,4,1,10,,,"ArcGIS, Canva",,No,Female,,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,What is a freelancers main source of projects?
5/16/2024 12:52:48,83,,4,1,2,"n/a, only have done 1 freelance project",previously worked together,,QGIS,No,Female,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography",Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,"Last year was my first and only freelance experience. The company offered a rate for the whole project, and I countered at a higher price to account for the fact that it was a rush job, which they accepted. I felt I was paid fairly, even though I didn't have set rates. I imagine this is not the norm for freelancers, but wanted to share my experience in case it's helpful."
4/1/2024 12:51:59,100,,4,1,100,"I charge less for universities, students, educational settings. I also charge less for ""simple"" cartography for reports. Note that these are usually the most time consuming but the clients do not view them as difficult. I charge more for analysis, consultation, etc. ",,"ArcGIS, accounting software","QGIS, Inkscape",No,Female,,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,"I saw there was a big range for what people charged, and the amount that I thought was reasonable but afraid was too high ($100-150/hr) turned out to be well within the range. I raised my rates accordingly. ",Every 2 years,
5/17/2024 2:10:00,55,,5,1,5,,,"Microsoft Office, ArcGIS",,No,Female,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, GISP certification, Other professional certification in cartography/GIS",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/9/2024 12:33:31,,,5,1,1,,,ArcGIS,,No,Female,Bachelor’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,,,
3/12/2024 5:49:21,25,,2,1,10,,,,"QGIS, Blender",Yes,Male,architecture,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
5/26/2024 2:28:27,8,,3,1,5,,,"Adobe Creative Cloud, ArcGIS, Microsoft Office","Google Earth, Blender",No,Male,Master’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Every 2 years,
3/8/2024 19:53:30,35,,3,1,5,I usually only do maps of hunts or vacations,Word of mouth,ArcGIS,Google Earth,No,Male,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/7/2024 18:58:59,50,,3,1,10,"I have a regular monthly client to whom I charge a fixed price for the same size and style of map. This is a very low rate, that is arguably not worth my time, but it means my maps are published monthly in a national magazine along with my freelance name and web address.

For other requests, I begin my quotes by estimating the time required multiplied by a rate of about US$60 per hour (NZ$100 per hour). I usually then reduce this to a figure that I believe would suit the client's budget",,"Microsoft Office, Adobe Creative Cloud","QGIS, GIMP, Google Earth, Blender",No,Male,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,Annually,"I don't use any freelance platforms to acquire clients. Instead, here in NZ, most of my clients are referred to me by other cartographers or previous clients, or clients get in contact directly after seeing my work published along with my freelance name and web address"
3/7/2024 19:48:20,65,,3,1,,,,Adobe Creative Cloud,QGIS,No,Male,Master’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),Yes,,Every 6 months,
3/7/2024 18:26:13,15,,4,1,2,Type of product (PDF/jpg < vector and raster files) Complexity (composition < geographic analysis),,Global Mapper,"QGIS, Inkscape, GIMP",No,Male,Bachelor’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/8/2024 7:21:20,20,,4,1,2,,,,"QGIS, Inkscape",No,Male,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,,Annually,
3/7/2024 23:34:42,50,,4,1,1,,,"Adobe Creative Cloud, ArcGIS",,No,Male,Bachelor’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/16/2024 12:02:04,50,,4,1,1,"I charge $100 per map, regardless of what kind of map it is",,,QGIS,No,Male,,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
4/21/2024 23:58:28,50,,4,1,20,,Fiverr,"Avenza Geographic Imager, Adobe Creative Cloud, Eduard, Avenza MAPublisher","QGIS, Google Earth, Blender",No,Male,Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,"I was charging less than others. I raised my rates. By raising my hourly rates, I'm getting more quality work offers even if they are fewer. ",Annually,
6/8/2024 13:30:56,65,,4,1,5,"Rates varied by scope complexity, grayscale vs. color design, page size, and other variables. Also adjusted rates based on the client market - for some smaller commissions for fantasy maps, clients are normally individuals with a small budget, so I made those for a fixed, low rate per map. For book maps & maps for other clients, I charged a normal hourly rate. ",,"ArcGIS, Adobe Creative Cloud",,No,Male,Master’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),Yes,I dramatically increased my hourly rate for professional clients; I realized I was radically undercharging compared to the market. ,Annually,
5/1/2024 9:52:12,75,,4,1,1,"I do side work for engineers, if it's simple things, will you convert this cad file to a shapefile, I charge $50 an hour, but if it's complicated like calculating areas of soil types within each land use class, that takes brain power and I charge $75. I really don't do much side work. There are too many Indians and Pakistanis who are doing GIS on freelance sites who charge way under US market value. It doesn't seem worth my time to charge that little, or attempt to market myself as having more value. ",People contact me and ask me for services via my portfolio website,,,No,Male,"Master’s degree in cartography/GIS/geography, Other professional certification in cartography/GIS",Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,"I would very much like to know rates, because the first time I freelanced, I had absolutely no idea how much to charge. "
3/7/2024 17:51:25,80,,4,1,1,Same rate,None,Adobe Creative Cloud,QGIS,No,Male,Undergraduate certificate in GIS,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,,Annually,
3/7/2024 23:47:16,80,,4,1,9,"If they are for a non-profit organization, Indigenous group, or otherwise good cause, I am content to charge less.",Mapbox Developer Network,"I didn't purchase it, but I use Mapbox GL for most of my work.",QGIS,No,Male,,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,How much to charge by hour,Annually,"From taking this survey, I think it'd be interesting to add an ""Other"" option to the list of open-source / free tools. I use tools like Visual Code Studio, MapLibre, Tileserver-GL. I'm also very surprised to not see Mapbox anywhere, but it makes me wonder if I'm not the primary audience of this survey? The other thing I thought about is that I do primarily web maps / web mapping applications, and I bet that the survey results differ between print cartography and web mapping."
4/3/2024 11:55:52,80,,4,1,2,I charge less for non-profits (and small organizations that I feel are doing good work),,ArcGIS,,No,Male,Master’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),No,,Every 2 years,
3/13/2024 23:13:10,100,,4,1,5,NA,NA,"Avenza Geographic Imager, Avenza MAPublisher, ArcGIS, Adobe Creative Cloud, Eduard, Natural Scene Designer Pro",QGIS,No,Male,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography",Expert (equivalent to 20+ years of full-time mapmaking work),No,,Every 2 years,"My freelance rates vary considerably depending on the relative wealth of clients. My rates are much higher for ""deep pockets"" organizations compared to cash-strapped individuals. In fact, most of my freelance work is done pro bono and released into the public domain. Another observation: The plumbers, electricians, and auto mechanics whom I occasionally engage charge more per hour than I do for mapping, despite my decades of experience and university degrees. Fixing a clogged toilet apparently has more economic value than making a map or creating geospatial data."
3/9/2024 9:42:26,150,,4,1,5,I generally charge the same rate for all work,,"Microsoft Office, ArcGIS, Adobe Creative Cloud",QGIS,No,Male,Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,Annually,
3/16/2024 17:46:28,,,4,1,0,,Upwork,ArcGIS,"QGIS, Google Earth",Yes,Male,Master’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,,Annually,
3/26/2024 8:48:39,,,4,1,6,I charge less for maps that are only serving to locate places and do not include thematic data. I charge more for projects that include analyzing or processing any data.,,Eduard,"QGIS, Google Earth",No,Male,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,The average hourly rate stated in previous surveys helped me set my typical rate.,Every 2 years,
3/20/2024 15:50:27,50,,5,1,5,"I base my rate on a fair wage. There are times I might charge less (for a nonprofit, for instance), but I've been pretty firm.",,"Avenza MAPublisher, Adobe Creative Cloud",QGIS,No,Male,"technically, I don't have a geography degree: my BA is in history (but I had far more hours in geography!), and I have a masters in urban planning—geo related, but still different.",Expert (equivalent to 20+ years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
3/11/2024 6:38:04,65,,5,1,5,,,ArcGIS,,No,Male,"Master’s degree in cartography/GIS/geography, GISP certification",Expert (equivalent to 20+ years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
6/3/2024 6:56:00,80,,5,1,1,N/A,,,"QGIS, GIMP",No,Male,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,Empowered to raise rates,Every 2 years,
5/16/2024 9:45:03,150,55,5,1,1,,,"Eduard, Adobe Creative Cloud",QGIS,No,Male,,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
4/30/2024 21:42:09,50,,2,2,80,"Not necessarily, just sometimes fixed price and sometimes hourly.","Upwork, Fiverr",,"QGIS, Inkscape, GIMP",No,Female,Master’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
