Timestamp,"In the last year, how much money did you typically receive per hour of time spent on freelance mapmaking work?",How often do you feel you are paid fairly for your time when doing freelance mapping? Would you say:,"In the last year, how much did you depend on your freelance cartography income? Would you say:","In the last year, approximately what percentage of your personal income came from freelance mapping work?","How often do you seek advice or services from an accountant, related to your freelance mapping work?","How often do you seek advice or services from a lawyer, related to your freelance mapping work?",How often do you sign a written contract before beginning a freelance mapping project?,Do you carry professional liability insurance?,What is the legal structure of your freelance mapping business?,"In the last year, have you ever subcontracted any of your freelance work, or had an employee of yours work on your freelance projects?",Which of these best describes your gender identity?,"Which map-related degrees or certifications do you hold, if any?",Which of these options best describes you level of mapmaking experience?,Have the published results of previous versions of this survey influenced your business practices or rates?,"If you answered ""Yes"" above, please optionally indicate how previous surveys influenced you.","We'd love to hear any additional thoughts you may have about freelance rates or business practices, or if you have ideas for questions you feel we should ask next time."
4/1/2025 18:27:30,100,Most or all of the time,"I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income",15,Never,Never,Rarely,No,Individual / Sole Proprietorship,Yes,Woman,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, GISP certification",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,,
4/2/2025 11:13:04,100,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,65,Never,Never,Rarely,"Yes, because I am required to by a client",Individual / Sole Proprietorship,No,Non-binary,Master’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,"They encouraged me to use contracts more (which I still don't do often, but it's now a goal of mine!)",
4/2/2025 11:37:40,100,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Never,Never,Frequently,"Yes, because I am required to by a client",Individual / Sole Proprietorship,No,Man,Master's degree in International Affairs,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,"It's very interesting to see the rates people charge, and how low they are compared to what a data analyst would get in terms of a salary + benefits.","country of origin, country of clients, country of residence - maybe state as well?"
4/2/2025 11:49:36,120,Most or all of the time,I did not depend on it at all; mapping provided surplus income,5,Never,Never,Frequently,No,Vof (Dutch type of 1 person company),No,Man,Master’s degree in cartography/GIS/geography,Expert (equivalent to 20+ years of full-time mapmaking work),I haven't seen any previous survey results,,
4/2/2025 11:51:25,70,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Frequently,Rarely,Frequently,"Yes, but not because of a client requirement",LLC,No,Woman,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography",Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,
4/2/2025 11:57:35,130,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Sometimes,Sometimes,Rarely,No,Individual / Sole Proprietorship,No,Man,Bachelor’s degree in cartography/GIS/geography,Expert (equivalent to 20+ years of full-time mapmaking work),No,,
4/2/2025 12:08:17,130,Some of the time,"I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income",100,Never,Never,Sometimes,No,Individual / Sole Proprietorship,No,Man,"None, I’m self-taught",Expert (equivalent to 20+ years of full-time mapmaking work),I haven't seen any previous survey results,,
4/2/2025 13:04:23,145,Most or all of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",,Never,Never,Frequently,No,Individual / Sole Proprietorship,No,Woman,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,
4/2/2025 13:10:57,65,Most or all of the time,I did not depend on it at all; mapping provided surplus income,1,Never,Never,Never,No,No legal structure. Just do it for cash.,No,Man,Master’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),Yes,I used a previous iteration of the survey to argue for an increased hourly pay rate.,
4/2/2025 13:30:13,,Most or all of the time,"I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income",50,Rarely,Rarely,Frequently,"Yes, because I am required to by a client",LLC,Yes,Woman,Ph.D. cartography/GIS/geography,Expert (equivalent to 20+ years of full-time mapmaking work),Yes,validating pricing,
4/2/2025 14:15:28,60,Most or all of the time,I did not depend on it at all; mapping provided surplus income,6,Never,Never,Frequently,,Individual / Sole Proprietorship,No,Man,Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,It was the first time I was able to compare the ratio work / rates.,"Since my work as a cartographer is a ""professional hobby"" in my spare evening hours, next to a full-time job, for me there's no need to take out disability insurance and to save for retirement, and I can work from home."
4/2/2025 14:39:39,,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,90,Sometimes,Never,Frequently,No,Individual / Sole Proprietorship,No,Man,PhD in Medieval Studies w/ a focus in cartographic history,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),Yes,Previous iterations of this survey have been useful guide for thinking about rates,
4/2/2025 14:48:36,100,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Never,Never,Frequently,"Yes, but not because of a client requirement",Individual / Sole Proprietorship,No,Man,GIS or cartography certificate,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,"In past years it helped motivate me to raise my rates, and more recently served as confirmation that my rates are on target (if not higher than most)","I would be curious if the norm is fixed fee or hourly contracts. It might be interesting too to have a question about past hourly rates. I know the survey often summarizes the average from year to year, but it's hard to gauge if the actual average freelancers are charging is changing over time vs different freelancers taking the survey. So perhaps a question of what did you charge 5 years ago, 10 years ago, etc. might help see trends more. I suppose tying the average to the length of time people have been freelancing may also get at that if that data is collected each time."
4/2/2025 15:13:45,80,Most or all of the time,I did not depend on it at all; mapping provided surplus income,1,Never,Never,Frequently,No,LLC,No,Woman,GIS or cartography certificate,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I haven't seen any previous survey results,,
4/2/2025 15:32:35,40,Some of the time,I did not depend on it at all; mapping provided surplus income,5,Rarely,Never,Frequently,No,LLC,No,Man,GIS or cartography certificate,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),Yes,They help me gage fellow cartographer sentiment around feelancing and its value to them as professional practicioners. I have adjusted my rate based on where I think I fall on the range of submitted answers.,
4/2/2025 15:40:52,50,Most or all of the time,I did not depend on it at all; mapping provided surplus income,1,Never,Never,Never,No,Individual / Sole Proprietorship,No,Man,Former GISP certificate ,Expert (equivalent to 20+ years of full-time mapmaking work),No,,Just more context-only consulting work I do is with someone I previously worked with in a different role.
