"Timestamp","During the last 12 months, how much money did you typically receive per hour of time spent on freelance mapmaking work?","During the year prior to that (i.e., the time span between 12 and 24 months ago), how much money did you typically receive per hour of time spent on freelance mapmaking work?","How often do you feel you are paid fairly for your time when doing freelance mapping? Would you say:","In the last year, how much did you depend on your freelance cartography income? Would you say:","How many freelance cartography projects did you work on in the last year?","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Government and public sector organizations]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Academic and public research institutions (e.g., universities, institutes)]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Private research and consulting organizations]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Conservation and environmental organizations]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Museums, libraries, and cultural institutions]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Other nonprofits and community organizations]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Publishers, authors, and media organizations]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Design, marketing, and creative agencies (including other cartographers)]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Engineering and technical services firms]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Resource extraction (mining, oil/gas, etc.)]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Private individuals (personal commissions)]","In the last year, approximately how many projects did you work on for clients that belonged to each of these industries? [Other industries]","If you answered ""Other industries,"" what sorts of industries should we consider including in the list next time? ","Which is more typical for you: to charge your clients a flat rate, or an hourly rate? Would you say…","Which is more typical for you: to make static maps for your clients, or interactive/animated ones? Would you say…","Which of these best describes your gender identity?","Which map-related degrees or certifications do you hold, if any?","Which of these options best describes you level of mapmaking experience?","Have the published results of previous versions of this survey influenced your business practices or rates?","If you answered ""Yes"" above, please optionally indicate how previous surveys influenced you.","We'd love to hear any additional thoughts you may have about freelance rates or business practices, or if you have ideas for questions you feel we should ask next time."
"2026/04/21 4:10:16 PM EST","100","100","Most or all of the time","I depended on it completely; freelance mapping was necessary for my survival","25","","6+","","","2–3","","6+","2–3","","","","","","I usually charge a flat rate, though I occasionally charge an hourly rate","I always, or almost always, make static maps","Non-binary","Master’s degree in cartography/GIS/geography","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","Yes","I have continued to feel confident in my rate by seeing what others are charging.",""
"2026/04/21 4:13:18 PM EST","100","90","Some of the time","I did not depend on it at all; mapping provided surplus income","2","None","None","None","None","None","1","1","2–3","None","None","2–3","","","I always, or almost always, charge a flat rate","I always, or almost always, make static maps","Man","GIS or cartography certificate","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","No","","Just to clarify my response on rate – I tend to work on smaller freelance projects, one-off maps, logos, and such. As a result, I determine what overall value I want to get for the work, and calculate an hourly rate backwards to get there. Sometimes that's 100 per hour, sometimes if it's something I *want* to do it's less. Granted, I don't rely on freelance work as a primary source of income, so that gives me more flexibility for that."
"2026/04/21 4:20:00 PM EST","110","100","Most or all of the time","I depended on it completely; freelance mapping was necessary for my survival","20","6+","1","None","4–5","None","1","None","None","None","None","","","","I usually charge an hourly rate, though I occasionally charge a flat rate","I usually make static maps, though I occasionally make some interactive/animated ones","Man","GIS or cartography certificate;Degree in a map-adjacent field (e.g., geology, environmental science, visual arts, graphic design)","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","Yes","",""
"2026/04/21 5:09:20 PM EST","66","62","Some of the time","I depended on it completely; freelance mapping was necessary for my survival","95","None","6+","None","1","2–3","2–3","6+","2–3","None","None","1","None","Retirement Community - campus map. Maybe the category woud be Real Estate? Housing Community? - Other work I did for a graphic design firm was for their brochure for a developer showing lots sold. I call these ""Community Maps"" in my own bookkeeping records. ","I usually charge a flat rate, though I occasionally charge an hourly rate","I always, or almost always, make static maps","Woman","Bachelor’s degree in cartography/GIS/geography;Master’s degree in cartography/GIS/geography","Expert (equivalent to 20+ years of full-time mapmaking work)","Yes","It's always good to see how much others charge. I am hopeful we are all keeping up with inflation this year!","I'd be curious how often people raise hourly rates for continuing hourly rate clients. "
"2026/04/21 5:10:09 PM EST","95","85","Most or all of the time","I depended on it completely; freelance mapping was necessary for my survival","11","2–3","1","2–3","","","1","1","","2–3","","","","","I usually charge a flat rate, though I occasionally charge an hourly rate","I usually make static maps, though I occasionally make some interactive/animated ones","Woman","Bachelor’s degree in cartography/GIS/geography;Chartered Geographer","Expert (equivalent to 20+ years of full-time mapmaking work)","Yes","It’s given me confidence to charge higher (consultancy) rates and see how other peers charge.","I noticed a big difference in what the publishing  world was able to offer (low) versus what the transport consultancy market allows. "
"2026/04/21 5:41:02 PM EST","55","55","Most or all of the time","I did not depend on it at all; mapping provided surplus income","15","None","None","None","None","None","None","6+","2–3","None","None","2–3","None","","I always, or almost always, charge a flat rate","I always, or almost always, make static maps","Man","Bachelor’s degree in cartography/GIS/geography","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","Yes","",""
"2026/04/21 6:14:44 PM EST","75","75","Rarely","I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier","5","None","None","None","1","None","1","1","None","None","None","None","","","I usually charge a flat rate, though I occasionally charge an hourly rate","I always, or almost always, make static maps","Man","","Somewhat Experienced (just beginning to a few years of full-time mapmaking work)","No","",""
"2026/04/21 7:16:03 PM EST","60","60","Some of the time","I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier","9","None","None","None","4–5","None","None","2–3","None","None","None","None","1","","I usually charge an hourly rate, though I occasionally charge a flat rate","I usually make static maps, though I occasionally make some interactive/animated ones","Man","Bachelor’s degree in cartography/GIS/geography;Master’s degree in cartography/GIS/geography","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","Yes","This has helped me understand whether the rates I ask are within reason","Thanks for this as always! I think past surveys have occasionally touched on this, but I'd love it if the survey could ask about how people are getting freelance work—the role of marketing, social media, word of mouth, in-person networking, repeat clients, and so on."
"2026/04/21 7:55:11 PM EST","80","80","Most or all of the time","I did not depend on it at all; mapping provided surplus income","1","None","None","None","1","None","None","None","None","None","None","None","None","","I always, or almost always, charge an hourly rate","I always, or almost always, make interactie/animated maps","Man","","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","Yes","",""
"2026/04/21 8:46:14 PM EST","110","100","Some of the time","I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier","24","2–3","None","6+","None","None","None","None","None","None","None","None","None","","I usually charge an hourly rate, though I occasionally charge a flat rate","I usually make static maps, though I occasionally make some interactive/animated ones","Man","Some college plus 18 years experience","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","I haven't seen any previous survey results","",""
"2026/04/22 12:00:12 AM EST","15","15","Some of the time","I did not depend on it at all; mapping provided surplus income","1","None","None","None","None","None","None","None","None","None","None","1","None","","I always, or almost always, charge a flat rate","I always, or almost always, make static maps","Man","Ph.D. cartography/GIS/geography","Very Experienced (equivalent to 10–20 years of full-time mapmaking work)","No","",""
