id,typical hourly rate,previous typical hourly rate,perception of fair pay,dependence on freelance,number of projects,number of projects (government),number of projects (academic),number of projects (private),number of projects (environmental),number of projects (glam),number of projects (non-profit),number of projects (publishers),number of projects (design agency),number of projects (engineering),number of projects (resources),number of projects (private individuals),number of projects (other),other industry types,hourly or flat rate,static or interactive,gender,degrees and certifications,experience level,influence of previous surveys,influence of previous surveys (how),additional comments
1,100,100,1,1,25,9999,6+,9999,9999,2–3,9999,6+,2–3,9999,9999,9999,9999,9999,4,1,Non-binary,Master's,3,Yes,I have continued to feel confident in my rate by seeing what others are charging.,9999
2,100,90,2,4,2,None,None,None,None,None,1,1,2–3,None,None,2–3,9999,9999,5,1,Man,Certificate,3,No,9999,"Just to clarify my response on rate – I tend to work on smaller freelance projects, one-off maps, logos, and such. As a result, I determine what overall value I want to get for the work, and calculate an hourly rate backwards to get there. Sometimes that's 100 per hour, sometimes if it's something I *want* to do it's less. Granted, I don't rely on freelance work as a primary source of income, so that gives me more flexibility for that."
3,110,100,1,1,20,6+,1,None,4–5,None,1,None,None,None,None,9999,9999,9999,2,2,Man,Certificate;Adjacent Degree,3,Yes,9999,9999
4,66,62,2,1,95,None,6+,None,1,2–3,2–3,6+,2–3,None,None,1,None,"Retirement Community - campus map. Maybe the category woud be Real Estate? Housing Community? - Other work I did for a graphic design firm was for their brochure for a developer showing lots sold. I call these ""Community Maps"" in my own bookkeeping records. ",4,1,Woman,Bachelor;Master's,4,Yes,It's always good to see how much others charge. I am hopeful we are all keeping up with inflation this year!,I'd be curious how often people raise hourly rates for continuing hourly rate clients. 
5,95,85,1,1,11,2–3,1,2–3,9999,9999,1,1,9999,2–3,9999,9999,9999,9999,4,2,Woman,Bachelor;Chartered Geographer,4,Yes,It’s given me confidence to charge higher (consultancy) rates and see how other peers charge.,I noticed a big difference in what the publishing  world was able to offer (low) versus what the transport consultancy market allows. 
6,55,55,1,4,15,None,None,None,None,None,None,6+,2–3,None,None,2–3,None,9999,5,1,Man,Bachelor,3,Yes,9999,9999
7,75,75,3,3,5,None,None,None,1,None,1,1,None,None,None,None,9999,9999,4,1,Man,9999,1,No,9999,9999
8,60,60,2,3,9,None,None,None,4–5,None,None,2–3,None,None,None,None,1,9999,2,2,Man,Bachelor;Master's,3,Yes,This has helped me understand whether the rates I ask are within reason,"Thanks for this as always! I think past surveys have occasionally touched on this, but I'd love it if the survey could ask about how people are getting freelance work—the role of marketing, social media, word of mouth, in-person networking, repeat clients, and so on."
9,80,80,1,4,1,None,None,None,1,None,None,None,None,None,None,None,None,9999,1,5,Man,9999,3,Yes,9999,9999
10,110,100,2,3,24,2–3,None,6+,None,None,None,None,None,None,None,None,None,9999,2,2,Man,Some college plus 18 years experience,3,I haven't seen any previous survey results,9999,9999
11,15,15,2,4,1,None,None,None,None,None,None,None,None,None,None,1,None,9999,5,1,Man,PhD,3,No,9999,9999
12,40,40,2,1,11,None,2–3,None,None,6+,None,None,None,None,None,1,None,9999,4,2,Man,Certificate;Adjacent Degree,2,Yes,I increased my rates after reading the 2023 survey,9999
